mean_metric_score,std_metric_score,split_type,mol_prop,model_name,AC_label,metric_name
0.0609235173233969,0.05800515257840824,scaffold,CYP2D6,molbert,AC,AUPRC
0.020922282261493452,0.04700586272822568,scaffold,CYP2D6,molbert,AC,Precision_PPV
0.9760430128550178,0.025757999545641567,scaffold,CYP2D6,molbert,AC,Precision_NPV
0.80304582190114,0.094067119789551,scaffold,MOR,molbert,AC,AUROC
0.6141693067408871,0.2007425302104479,scaffold,MOR,molbert,AC,AUPRC
0.585783482030818,0.19457666429195328,scaffold,MOR,molbert,AC,Precision_PPV
0.8859032899175844,0.07182831583940913,scaffold,MOR,molbert,AC,Precision_NPV
0.7630878832661688,0.10447688592793983,scaffold,DOR,molbert,AC,AUROC
0.5076350006694053,0.1921972904726409,scaffold,DOR,molbert,AC,AUPRC
0.4835878666942477,0.17793241527088785,scaffold,DOR,molbert,AC,Precision_PPV
0.9077494787061797,0.06417680135036859,scaffold,DOR,molbert,AC,Precision_NPV
0.7960848501870686,0.1054522195836253,scaffold,KOR,molbert,AC,AUROC
0.6614385811227874,0.16132167621616791,scaffold,KOR,molbert,AC,AUPRC
0.6247107951162149,0.15913169206551925,scaffold,KOR,molbert,AC,Precision_PPV
0.8708064742967723,0.10095303694705389,scaffold,KOR,molbert,AC,Precision_NPV
0.588222312432871,0.6672932946368547,scaffold,MDR1,grover_base,AC,AUROC
0.6299350330918212,0.3496507490602723,scaffold,MDR1,grover_base,AC,AUPRC
0.5481162873074638,0.4016436313451057,scaffold,MDR1,grover_base,AC,Precision_PPV
0.9412659556908641,0.08169786343041162,scaffold,MDR1,grover_base,AC,Precision_NPV
0.2641589529478661,0.7449819169291133,scaffold,CYP3A4,grover_base,AC,AUROC
0.11326424148614357,0.19187053048049255,scaffold,CYP3A4,grover_base,AC,AUPRC
0.0616783158531111,0.15486268547624057,scaffold,CYP3A4,grover_base,AC,Precision_PPV
0.9530329071936999,0.08677123400497097,scaffold,CYP3A4,grover_base,AC,Precision_NPV
0.05322751676620442,0.7299072641116515,scaffold,CYP2D6,grover_base,AC,AUROC
0.038304361794210914,0.040246408802533724,scaffold,CYP2D6,grover_base,AC,AUPRC
0.013560603530799875,0.035583127328875766,scaffold,CYP2D6,grover_base,AC,Precision_PPV
0.9565030580992896,0.05687329523548133,scaffold,CYP2D6,grover_base,AC,Precision_NPV
0.7803620545872796,0.09883329617790053,scaffold,MOR,grover_base,AC,AUROC
0.5869457448454888,0.19648368227601007,scaffold,MOR,grover_base,AC,AUPRC
0.5475250623477117,0.19589811850549943,scaffold,MOR,grover_base,AC,Precision_PPV
0.8957171366703135,0.07481733217350775,scaffold,MOR,grover_base,AC,Precision_NPV
0.6549954125688533,0.16941626710545615,scaffold,DOR,grover_base,AC,AUROC
0.4068298522447539,0.18468675704496662,scaffold,DOR,grover_base,AC,AUPRC
0.4140233572260837,0.19238447858160201,scaffold,DOR,grover_base,AC,Precision_PPV
0.8562597172819876,0.11053926525418062,scaffold,DOR,grover_base,AC,Precision_NPV
0.8000096564245806,0.08709693189078564,scaffold,KOR,grover_base,AC,AUROC
0.6583557546352472,0.138351607796422,scaffold,KOR,grover_base,AC,AUPRC
0.6237776075357233,0.15235831678197084,scaffold,KOR,grover_base,AC,Precision_PPV
0.8820048974298204,0.08772942111532703,scaffold,KOR,grover_base,AC,Precision_NPV
0.6284891096919338,0.6715475782026432,scaffold,MDR1,grover_base_rdkit,AC,AUROC
0.6825533144830586,0.3462599240946534,scaffold,MDR1,grover_base_rdkit,AC,AUPRC
0.5304680172785717,0.40211746161353373,scaffold,MDR1,grover_base_rdkit,AC,Precision_PPV
0.9595381397117663,0.05924169031678686,scaffold,MDR1,grover_base_rdkit,AC,Precision_NPV
0.26516970597805656,0.7425372545183325,scaffold,CYP3A4,grover_base_rdkit,AC,AUROC
0.1253497582208986,0.20713650731959288,scaffold,CYP3A4,grover_base_rdkit,AC,AUPRC
0.06685991159091918,0.18751253552294792,scaffold,CYP3A4,grover_base_rdkit,AC,Precision_PPV
0.9755381830273947,0.02350201594186312,scaffold,CYP3A4,grover_base_rdkit,AC,Precision_NPV
0.023685646429199406,0.708650376091883,scaffold,CYP2D6,grover_base_rdkit,AC,AUROC
0.04272583249790364,0.04222547595687733,scaffold,CYP2D6,grover_base_rdkit,AC,AUPRC
0.013174005462366562,0.030262568414942206,scaffold,CYP2D6,grover_base_rdkit,AC,Precision_PPV
0.9604825720742391,0.04098770112601335,scaffold,CYP2D6,grover_base_rdkit,AC,Precision_NPV
0.791914855994609,0.10303749427938266,scaffold,MOR,grover_base_rdkit,AC,AUROC
