metric_score,metric_name,mol_prop,model_name,fold,split_type,task
1.0,Precision_PPV,MDR1,RF,9,scaffold,cutoff6
0.9642857142857143,Precision_PPV,MDR1,molbert,9,scaffold,cutoff6
0.07407407407407407,Precision_PPV,MDR1,grover_base,9,scaffold,cutoff6
0.9310344827586207,Precision_PPV,MDR1,grover_base_rdkit,9,scaffold,cutoff6
0.9734513274336283,Precision_NPV,MDR1,RF,9,scaffold,cutoff6
0.9316239316239316,Precision_NPV,MDR1,molbert,9,scaffold,cutoff6
0.6593406593406593,Precision_NPV,MDR1,grover_base,9,scaffold,cutoff6
0.9310344827586207,Precision_NPV,MDR1,grover_base_rdkit,9,scaffold,cutoff6
0.989963503649635,AUROC,MDR1,RF,10,scaffold,cutoff6
0.8467153284671532,AUROC,MDR1,molbert,10,scaffold,cutoff6
0.8923357664233578,AUROC,MDR1,grover_base,10,scaffold,cutoff6
0.8895985401459855,AUROC,MDR1,grover_base_rdkit,10,scaffold,cutoff6
0.8619276556776556,AUPRC,MDR1,RF,10,scaffold,cutoff6
0.5098958479712956,AUPRC,MDR1,molbert,10,scaffold,cutoff6
0.4924329419466719,AUPRC,MDR1,grover_base,10,scaffold,cutoff6
0.4895077852502173,AUPRC,MDR1,grover_base_rdkit,10,scaffold,cutoff6
0.5384615384615384,Precision_PPV,MDR1,RF,10,scaffold,cutoff6
0.10144927536231885,Precision_PPV,MDR1,molbert,10,scaffold,cutoff6
0.1891891891891892,Precision_PPV,MDR1,grover_base,10,scaffold,cutoff6
0.1794871794871795,Precision_PPV,MDR1,grover_base_rdkit,10,scaffold,cutoff6
0.9924242424242424,Precision_NPV,MDR1,RF,10,scaffold,cutoff6
0.9868421052631579,Precision_NPV,MDR1,molbert,10,scaffold,cutoff6
0.9907407407407407,Precision_NPV,MDR1,grover_base,10,scaffold,cutoff6
0.9905660377358491,Precision_NPV,MDR1,grover_base_rdkit,10,scaffold,cutoff6
0.9811236623067776,AUROC,MDR1,RF,11,scaffold,cutoff6
