metric_score,metric_name,mol_prop,model_name,fold,split_type,task,AC_label,suffix
0.9864864864864865,Precision_NPV,MDR1,RF,6,scaffold,cutoff6,AC,
0.975609756097561,Precision_NPV,MDR1,molbert,6,scaffold,cutoff6,AC,
0.9791666666666666,Precision_NPV,MDR1,grover_base,6,scaffold,cutoff6,AC,
0.9473684210526315,Precision_NPV,MDR1,grover_base_rdkit,6,scaffold,cutoff6,AC,
0.9820075757575757,AUROC,MDR1,RF,7,scaffold,cutoff6,AC,
0.9829545454545455,AUROC,MDR1,molbert,7,scaffold,cutoff6,AC,
0.9943181818181819,AUROC,MDR1,grover_base,7,scaffold,cutoff6,AC,
0.9962121212121213,AUROC,MDR1,grover_base_rdkit,7,scaffold,cutoff6,AC,
0.9579992413632119,AUPRC,MDR1,RF,7,scaffold,cutoff6,AC,
0.9528260240576417,AUPRC,MDR1,molbert,7,scaffold,cutoff6,AC,
0.9888148488562092,AUPRC,MDR1,grover_base,7,scaffold,cutoff6,AC,
0.9928513071895425,AUPRC,MDR1,grover_base_rdkit,7,scaffold,cutoff6,AC,
0.8823529411764706,Precision_PPV,MDR1,RF,7,scaffold,cutoff6,AC,
0.9375,Precision_PPV,MDR1,molbert,7,scaffold,cutoff6,AC,
0.8823529411764706,Precision_PPV,MDR1,grover_base,7,scaffold,cutoff6,AC,
0.8823529411764706,Precision_PPV,MDR1,grover_base_rdkit,7,scaffold,cutoff6,AC,
0.96875,Precision_NPV,MDR1,RF,7,scaffold,cutoff6,AC,
0.9696969696969697,Precision_NPV,MDR1,molbert,7,scaffold,cutoff6,AC,
0.96875,Precision_NPV,MDR1,grover_base,7,scaffold,cutoff6,AC,
0.96875,Precision_NPV,MDR1,grover_base_rdkit,7,scaffold,cutoff6,AC,
0.9999999999999999,AUROC,MDR1,RF,8,scaffold,cutoff6,AC,
1.0,AUROC,MDR1,molbert,8,scaffold,cutoff6,AC,
1.0,AUROC,MDR1,grover_base,8,scaffold,cutoff6,AC,
1.0,AUROC,MDR1,grover_base_rdkit,8,scaffold,cutoff6,AC,
0.9999999999999998,AUPRC,MDR1,RF,8,scaffold,cutoff6,AC,
0.9999999999999998,AUPRC,MDR1,molbert,8,scaffold,cutoff6,AC,
0.9999999999999998,AUPRC,MDR1,grover_base,8,scaffold,cutoff6,AC,
