metric_score,metric_name,mol_prop,model_name,fold,split_type,task,AC_label,suffix
0.8768421151814839,Pearson_R,MDR1,molbert,1,scaffold,reg,AC,
-0.44043775419084163,Pearson_R,MDR1,grover_base,1,scaffold,reg,AC,
0.8525773270589623,Pearson_R,MDR1,grover_base_rdkit,1,scaffold,reg,AC,
1.9779712709544297,RMSE,MDR1,RF,2,scaffold,reg,AC,
2.2341392429102513,RMSE,MDR1,molbert,2,scaffold,reg,AC,
2.5765405311338703,RMSE,MDR1,grover_base,2,scaffold,reg,AC,
2.110832737937993,RMSE,MDR1,grover_base_rdkit,2,scaffold,reg,AC,
1.4790028945236044,MAE,MDR1,RF,2,scaffold,reg,AC,
1.5818506543398085,MAE,MDR1,molbert,2,scaffold,reg,AC,
1.6488000106556953,MAE,MDR1,grover_base,2,scaffold,reg,AC,
1.406715800246051,MAE,MDR1,grover_base_rdkit,2,scaffold,reg,AC,
0.7043530567945073,R2,MDR1,RF,2,scaffold,reg,AC,
0.6228154347977761,R2,MDR1,molbert,2,scaffold,reg,AC,
0.49834240521866136,R2,MDR1,grover_base,2,scaffold,reg,AC,
0.6633015813009593,R2,MDR1,grover_base_rdkit,2,scaffold,reg,AC,
0.8650909233688575,Pearson_R,MDR1,RF,2,scaffold,reg,AC,
0.8679365523010464,Pearson_R,MDR1,molbert,2,scaffold,reg,AC,
0.8517912703347051,Pearson_R,MDR1,grover_base,2,scaffold,reg,AC,
0.8977887959504327,Pearson_R,MDR1,grover_base_rdkit,2,scaffold,reg,AC,
1.2189490526066247,RMSE,MDR1,RF,3,scaffold,reg,AC,
2.0243377879121023,RMSE,MDR1,molbert,3,scaffold,reg,AC,
1.7902743932673277,RMSE,MDR1,grover_base,3,scaffold,reg,AC,
1.2368205875261569,RMSE,MDR1,grover_base_rdkit,3,scaffold,reg,AC,
0.9646777660667157,MAE,MDR1,RF,3,scaffold,reg,AC,
1.811293236348164,MAE,MDR1,molbert,3,scaffold,reg,AC,
1.49030841917406,MAE,MDR1,grover_base,3,scaffold,reg,AC,
1.0221841859891554,MAE,MDR1,grover_base_rdkit,3,scaffold,reg,AC,
0.18985994988987276,R2,MDR1,RF,3,scaffold,reg,AC,
-1.2343693088365755,R2,MDR1,molbert,3,scaffold,reg,AC,
-0.7475443004374998,R2,MDR1,grover_base,3,scaffold,reg,AC,
0.16593018265454362,R2,MDR1,grover_base_rdkit,3,scaffold,reg,AC,
0.4560727536146748,Pearson_R,MDR1,RF,3,scaffold,reg,AC,
0.24805274496336305,Pearson_R,MDR1,molbert,3,scaffold,reg,AC,
-0.09879447436692008,Pearson_R,MDR1,grover_base,3,scaffold,reg,AC,
0.49440158040902277,Pearson_R,MDR1,grover_base_rdkit,3,scaffold,reg,AC,
2.4579633822623896,RMSE,MDR1,RF,4,scaffold,reg,AC,
3.972468657838818,RMSE,MDR1,molbert,4,scaffold,reg,AC,
5.331727682088285,RMSE,MDR1,grover_base,4,scaffold,reg,AC,
2.6568300660549156,RMSE,MDR1,grover_base_rdkit,4,scaffold,reg,AC,
1.8157356644950773,MAE,MDR1,RF,4,scaffold,reg,AC,
3.391590759562881,MAE,MDR1,molbert,4,scaffold,reg,AC,
4.231698178747233,MAE,MDR1,grover_base,4,scaffold,reg,AC,
2.166620312257979,MAE,MDR1,grover_base_rdkit,4,scaffold,reg,AC,
0.8194664643780533,R2,MDR1,RF,4,scaffold,reg,AC,
0.5284496962371352,R2,MDR1,molbert,4,scaffold,reg,AC,
0.15053988965479326,R2,MDR1,grover_base,4,scaffold,reg,AC,
0.7890718104995847,R2,MDR1,grover_base_rdkit,4,scaffold,reg,AC,
0.9212964313462895,Pearson_R,MDR1,RF,4,scaffold,reg,AC,
0.9069007186732262,Pearson_R,MDR1,molbert,4,scaffold,reg,AC,
0.9234024025725677,Pearson_R,MDR1,grover_base,4,scaffold,reg,AC,
0.9307010544529672,Pearson_R,MDR1,grover_base_rdkit,4,scaffold,reg,AC,
1.680411246063859,RMSE,MDR1,RF,5,scaffold,reg,AC,
2.335821203163785,RMSE,MDR1,molbert,5,scaffold,reg,AC,
3.591527431935288,RMSE,MDR1,grover_base,5,scaffold,reg,AC,
1.9668279012750405,RMSE,MDR1,grover_base_rdkit,5,scaffold,reg,AC,
1.284081710844959,MAE,MDR1,RF,5,scaffold,reg,AC,
1.8195769632920047,MAE,MDR1,molbert,5,scaffold,reg,AC,
2.704456889042247,MAE,MDR1,grover_base,5,scaffold,reg,AC,
