radius_2,radius_3,metric_name,mol_prop,split_type,nbit,p_value,stats_method
Radius: 2,Radius: 3,R2,DOR,scaffold,NumBits: 1024,0.6467245773434841,ranksums
Radius: 2,Radius: 3,Pearson_R,DOR,scaffold,NumBits: 1024,0.1443613931340882,ttest_rel
Radius: 2,Radius: 3,Pearson_R,DOR,scaffold,NumBits: 1024,0.1305916349444668,wilcoxon
Radius: 2,Radius: 3,Pearson_R,DOR,scaffold,NumBits: 1024,0.660964149319007,ttest_ind
Radius: 2,Radius: 3,Pearson_R,DOR,scaffold,NumBits: 1024,0.6151959787448548,ranksums
Radius: 2,Radius: 3,MAE,DOR,scaffold,NumBits: 1024,0.6715980633669644,ttest_rel
Radius: 2,Radius: 3,MAE,DOR,scaffold,NumBits: 1024,0.8450804241615161,wilcoxon
Radius: 2,Radius: 3,MAE,DOR,scaffold,NumBits: 1024,0.9312631102610249,ttest_ind
Radius: 2,Radius: 3,MAE,DOR,scaffold,NumBits: 1024,0.8591839142744377,ranksums
Radius: 2,Radius: 3,RMSE,KOR,scaffold,NumBits: 1024,0.00017907942077540588,ttest_rel
Radius: 2,Radius: 3,RMSE,KOR,scaffold,NumBits: 1024,0.0002051529226187778,wilcoxon
Radius: 2,Radius: 3,RMSE,KOR,scaffold,NumBits: 1024,0.4356712340964265,ttest_ind
Radius: 2,Radius: 3,RMSE,KOR,scaffold,NumBits: 1024,0.2611758246072803,ranksums
Radius: 2,Radius: 3,R2,KOR,scaffold,NumBits: 1024,0.0002498122075135124,ttest_rel
Radius: 2,Radius: 3,R2,KOR,scaffold,NumBits: 1024,0.00022248266458074938,wilcoxon
Radius: 2,Radius: 3,R2,KOR,scaffold,NumBits: 1024,0.3997316845611706,ttest_ind
Radius: 2,Radius: 3,R2,KOR,scaffold,NumBits: 1024,0.39117045199768474,ranksums
Radius: 2,Radius: 3,Pearson_R,KOR,scaffold,NumBits: 1024,0.0007217306359512354,ttest_rel
Radius: 2,Radius: 3,Pearson_R,KOR,scaffold,NumBits: 1024,0.0006156406207014214,wilcoxon
Radius: 2,Radius: 3,Pearson_R,KOR,scaffold,NumBits: 1024,0.42792014958400926,ttest_ind
Radius: 2,Radius: 3,Pearson_R,KOR,scaffold,NumBits: 1024,0.4508458012735146,ranksums
Radius: 2,Radius: 3,MAE,KOR,scaffold,NumBits: 1024,1.3854400065663173e-08,ttest_rel
Radius: 2,Radius: 3,MAE,KOR,scaffold,NumBits: 1024,2.878599219394298e-06,wilcoxon
Radius: 2,Radius: 3,MAE,KOR,scaffold,NumBits: 1024,0.2149464172558446,ttest_ind
Radius: 2,Radius: 3,MAE,KOR,scaffold,NumBits: 1024,0.10707027092382157,ranksums
Radius: 2,Radius: 3,RMSE,MDR1,random,NumBits: 1024,0.9377684162144627,ttest_rel
Radius: 2,Radius: 3,RMSE,MDR1,random,NumBits: 1024,0.8612125197358381,wilcoxon
Radius: 2,Radius: 3,RMSE,MDR1,random,NumBits: 1024,0.9825115439469954,ttest_ind
Radius: 2,Radius: 3,RMSE,MDR1,random,NumBits: 1024,1.0,ranksums
Radius: 2,Radius: 3,R2,MDR1,random,NumBits: 1024,0.9325521614115102,ttest_rel
Radius: 2,Radius: 3,R2,MDR1,random,NumBits: 1024,0.9426105124576512,wilcoxon
Radius: 2,Radius: 3,R2,MDR1,random,NumBits: 1024,0.9835776807438319,ttest_ind
Radius: 2,Radius: 3,R2,MDR1,random,NumBits: 1024,1.0,ranksums
Radius: 2,Radius: 3,Pearson_R,MDR1,random,NumBits: 1024,0.7250709626229404,ttest_rel
Radius: 2,Radius: 3,Pearson_R,MDR1,random,NumBits: 1024,0.7343252914391281,wilcoxon
Radius: 2,Radius: 3,Pearson_R,MDR1,random,NumBits: 1024,0.9311817288693457,ttest_ind
Radius: 2,Radius: 3,Pearson_R,MDR1,random,NumBits: 1024,0.9882041649400981,ranksums
Radius: 2,Radius: 3,MAE,MDR1,random,NumBits: 1024,0.0911749321585699,ttest_rel
Radius: 2,Radius: 3,MAE,MDR1,random,NumBits: 1024,0.07864666027410346,wilcoxon
