model,metric_name,mol_prop,task,p_value,stats_method
grover_base_rdkit,AUROC,CYP2D6,cutoff6,0.05460886523214059,ranksums
grover_base_rdkit,AUPRC,CYP2D6,cutoff6,,ttest_rel
grover_base_rdkit,AUPRC,CYP2D6,cutoff6,0.0752133122154768,wilcoxon
grover_base_rdkit,AUPRC,CYP2D6,cutoff6,,ttest_ind
grover_base_rdkit,AUPRC,CYP2D6,cutoff6,0.6789005364668961,ranksums
grover_base_rdkit,Precision_PPV,CYP2D6,cutoff6,0.24644782975415894,ttest_rel
grover_base_rdkit,Precision_PPV,CYP2D6,cutoff6,0.23910573224440745,wilcoxon
grover_base_rdkit,Precision_PPV,CYP2D6,cutoff6,0.18945892142075724,ttest_ind
grover_base_rdkit,Precision_PPV,CYP2D6,cutoff6,0.20887092391866158,ranksums
grover_base_rdkit,Precision_NPV,CYP2D6,cutoff6,0.22390948926207907,ttest_rel
grover_base_rdkit,Precision_NPV,CYP2D6,cutoff6,0.38203416302245696,wilcoxon
grover_base_rdkit,Precision_NPV,CYP2D6,cutoff6,0.2224555021857992,ttest_ind
grover_base_rdkit,Precision_NPV,CYP2D6,cutoff6,0.16016393690179076,ranksums
grover_base_rdkit,AUROC,MOR,cutoff6,0.08386845504158862,ttest_rel
grover_base_rdkit,AUROC,MOR,cutoff6,0.11560818762398352,wilcoxon
grover_base_rdkit,AUROC,MOR,cutoff6,0.13229409296803804,ttest_ind
grover_base_rdkit,AUROC,MOR,cutoff6,0.2804704772772293,ranksums
grover_base_rdkit,AUPRC,MOR,cutoff6,0.019075582463030257,ttest_rel
grover_base_rdkit,AUPRC,MOR,cutoff6,0.03160338164205514,wilcoxon
grover_base_rdkit,AUPRC,MOR,cutoff6,0.052339607335879515,ttest_ind
grover_base_rdkit,AUPRC,MOR,cutoff6,0.07604147583024336,ranksums
grover_base_rdkit,Precision_PPV,MOR,cutoff6,0.19459667301750946,ttest_rel
grover_base_rdkit,Precision_PPV,MOR,cutoff6,0.1588554992851956,wilcoxon
grover_base_rdkit,Precision_PPV,MOR,cutoff6,0.23839129759234132,ttest_ind
grover_base_rdkit,Precision_PPV,MOR,cutoff6,0.06043289007986042,ranksums
grover_base_rdkit,Precision_NPV,MOR,cutoff6,0.5616654249460387,ttest_rel
grover_base_rdkit,Precision_NPV,MOR,cutoff6,0.5038329688781412,wilcoxon
grover_base_rdkit,Precision_NPV,MOR,cutoff6,0.5219156572909609,ttest_ind
grover_base_rdkit,Precision_NPV,MOR,cutoff6,0.29385872905412214,ranksums
grover_base_rdkit,AUROC,DOR,cutoff6,0.15945176282554707,ttest_rel
grover_base_rdkit,AUROC,DOR,cutoff6,0.04716174720825457,wilcoxon
grover_base_rdkit,AUROC,DOR,cutoff6,0.11348684157746693,ttest_ind
grover_base_rdkit,AUROC,DOR,cutoff6,0.08634644641194693,ranksums
grover_base_rdkit,AUPRC,DOR,cutoff6,0.22232075145434302,ttest_rel
grover_base_rdkit,AUPRC,DOR,cutoff6,0.20588822305607402,wilcoxon
grover_base_rdkit,AUPRC,DOR,cutoff6,0.24975633415212392,ttest_ind
grover_base_rdkit,AUPRC,DOR,cutoff6,0.4161358470782788,ranksums
grover_base_rdkit,Precision_PPV,DOR,cutoff6,0.5759710975665356,ttest_rel
grover_base_rdkit,Precision_PPV,DOR,cutoff6,0.5304400912497492,wilcoxon
grover_base_rdkit,Precision_PPV,DOR,cutoff6,0.5651221491249686,ttest_ind
grover_base_rdkit,Precision_PPV,DOR,cutoff6,0.6467245773434841,ranksums
grover_base_rdkit,Precision_NPV,DOR,cutoff6,0.5373909560694865,ttest_rel
grover_base_rdkit,Precision_NPV,DOR,cutoff6,0.5440062075841892,wilcoxon
grover_base_rdkit,Precision_NPV,DOR,cutoff6,0.48841179797923995,ttest_ind
grover_base_rdkit,Precision_NPV,DOR,cutoff6,0.4552969069031376,ranksums
grover_base_rdkit,AUROC,KOR,cutoff6,0.0035385836279495657,ttest_rel
grover_base_rdkit,AUROC,KOR,cutoff6,0.003854236286879128,wilcoxon
