model_1,model_2,metric_name,mol_prop,split_type,task,p_value,stats_method
molbert,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,3.7242647279456434e-05,wilcoxon
molbert,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,0.057230023218406256,ttest_ind
molbert,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,0.06676261397076391,ranksums
grover_base,RF,Pearson_R,MDR1,scaffold,reg,7.09720149454859e-07,ttest_rel
grover_base,RF,Pearson_R,MDR1,scaffold,reg,2.1266360107314253e-06,wilcoxon
grover_base,RF,Pearson_R,MDR1,scaffold,reg,1.940068494897509e-07,ttest_ind
grover_base,RF,Pearson_R,MDR1,scaffold,reg,2.2339876316665356e-06,ranksums
grover_base,molbert,Pearson_R,MDR1,scaffold,reg,9.11095241136391e-05,ttest_rel
grover_base,molbert,Pearson_R,MDR1,scaffold,reg,0.00041955098606127764,wilcoxon
grover_base,molbert,Pearson_R,MDR1,scaffold,reg,7.18210859618432e-05,ttest_ind
grover_base,molbert,Pearson_R,MDR1,scaffold,reg,0.0009272718622098232,ranksums
grover_base,grover_base,Pearson_R,MDR1,scaffold,reg,,ttest_rel
grover_base,grover_base,Pearson_R,MDR1,scaffold,reg,1,wilcoxon
grover_base,grover_base,Pearson_R,MDR1,scaffold,reg,1.0,ttest_ind
grover_base,grover_base,Pearson_R,MDR1,scaffold,reg,1.0,ranksums
grover_base,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,4.189606009408558e-06,ttest_rel
grover_base,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,1.360110796799097e-05,wilcoxon
grover_base,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,1.9970761238380466e-06,ttest_ind
grover_base,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,3.2610863452154165e-05,ranksums
grover_base_rdkit,RF,Pearson_R,MDR1,scaffold,reg,0.015082834883633968,ttest_rel
grover_base_rdkit,RF,Pearson_R,MDR1,scaffold,reg,0.007730944211317755,wilcoxon
grover_base_rdkit,RF,Pearson_R,MDR1,scaffold,reg,0.21096141060132872,ttest_ind
grover_base_rdkit,RF,Pearson_R,MDR1,scaffold,reg,0.28711193012328706,ranksums
grover_base_rdkit,molbert,Pearson_R,MDR1,scaffold,reg,5.551407806984224e-05,ttest_rel
grover_base_rdkit,molbert,Pearson_R,MDR1,scaffold,reg,3.7242647279456434e-05,wilcoxon
grover_base_rdkit,molbert,Pearson_R,MDR1,scaffold,reg,0.057230023218406256,ttest_ind
grover_base_rdkit,molbert,Pearson_R,MDR1,scaffold,reg,0.06676261397076391,ranksums
grover_base_rdkit,grover_base,Pearson_R,MDR1,scaffold,reg,4.189606009408558e-06,ttest_rel
grover_base_rdkit,grover_base,Pearson_R,MDR1,scaffold,reg,1.360110796799097e-05,wilcoxon
grover_base_rdkit,grover_base,Pearson_R,MDR1,scaffold,reg,1.9970761238380466e-06,ttest_ind
grover_base_rdkit,grover_base,Pearson_R,MDR1,scaffold,reg,3.2610863452154165e-05,ranksums
grover_base_rdkit,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,,ttest_rel
grover_base_rdkit,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,1,wilcoxon
grover_base_rdkit,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,1.0,ttest_ind
grover_base_rdkit,grover_base_rdkit,Pearson_R,MDR1,scaffold,reg,1.0,ranksums
RF,RF,RMSE,CYP3A4,scaffold,reg,,ttest_rel
RF,RF,RMSE,CYP3A4,scaffold,reg,1,wilcoxon
RF,RF,RMSE,CYP3A4,scaffold,reg,1.0,ttest_ind
RF,RF,RMSE,CYP3A4,scaffold,reg,1.0,ranksums
RF,molbert,RMSE,CYP3A4,scaffold,reg,1.3954222606291802e-10,ttest_rel
RF,molbert,RMSE,CYP3A4,scaffold,reg,4.285685869189864e-06,wilcoxon
RF,molbert,RMSE,CYP3A4,scaffold,reg,5.258823086682066e-05,ttest_ind
RF,molbert,RMSE,CYP3A4,scaffold,reg,0.00012857816253298126,ranksums
RF,grover_base,RMSE,CYP3A4,scaffold,reg,1.0220195633210542e-14,ttest_rel
RF,grover_base,RMSE,CYP3A4,scaffold,reg,1.9209211049031396e-06,wilcoxon
RF,grover_base,RMSE,CYP3A4,scaffold,reg,2.2282329009230812e-10,ttest_ind
RF,grover_base,RMSE,CYP3A4,scaffold,reg,2.2902248808643232e-08,ranksums
RF,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,7.219248969438432e-07,ttest_rel
RF,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,4.449337283453103e-05,wilcoxon
RF,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,0.0006238993007600559,ttest_ind
RF,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,0.0015568790292720188,ranksums
molbert,RF,RMSE,CYP3A4,scaffold,reg,1.3954222606291802e-10,ttest_rel
molbert,RF,RMSE,CYP3A4,scaffold,reg,4.285685869189864e-06,wilcoxon
molbert,RF,RMSE,CYP3A4,scaffold,reg,5.258823086682066e-05,ttest_ind
molbert,RF,RMSE,CYP3A4,scaffold,reg,0.00012857816253298126,ranksums
molbert,molbert,RMSE,CYP3A4,scaffold,reg,,ttest_rel
molbert,molbert,RMSE,CYP3A4,scaffold,reg,1,wilcoxon
molbert,molbert,RMSE,CYP3A4,scaffold,reg,1.0,ttest_ind
molbert,molbert,RMSE,CYP3A4,scaffold,reg,1.0,ranksums
molbert,grover_base,RMSE,CYP3A4,scaffold,reg,7.516794420512707e-12,ttest_rel
molbert,grover_base,RMSE,CYP3A4,scaffold,reg,1.7343976283205784e-06,wilcoxon
molbert,grover_base,RMSE,CYP3A4,scaffold,reg,0.00033231427667255336,ttest_ind
molbert,grover_base,RMSE,CYP3A4,scaffold,reg,0.001268534539381128,ranksums
molbert,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,0.03915258808405259,ttest_rel
molbert,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,0.016565526979430395,wilcoxon
molbert,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,0.44560740995934833,ttest_ind
molbert,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,0.4161358470782788,ranksums
grover_base,RF,RMSE,CYP3A4,scaffold,reg,1.0220195633210542e-14,ttest_rel
grover_base,RF,RMSE,CYP3A4,scaffold,reg,1.9209211049031396e-06,wilcoxon
grover_base,RF,RMSE,CYP3A4,scaffold,reg,2.2282329009230812e-10,ttest_ind
grover_base,RF,RMSE,CYP3A4,scaffold,reg,2.2902248808643232e-08,ranksums
grover_base,molbert,RMSE,CYP3A4,scaffold,reg,7.516794420512707e-12,ttest_rel
grover_base,molbert,RMSE,CYP3A4,scaffold,reg,1.7343976283205784e-06,wilcoxon
grover_base,molbert,RMSE,CYP3A4,scaffold,reg,0.00033231427667255336,ttest_ind
grover_base,molbert,RMSE,CYP3A4,scaffold,reg,0.001268534539381128,ranksums
grover_base,grover_base,RMSE,CYP3A4,scaffold,reg,,ttest_rel
grover_base,grover_base,RMSE,CYP3A4,scaffold,reg,1,wilcoxon
grover_base,grover_base,RMSE,CYP3A4,scaffold,reg,1.0,ttest_ind
grover_base,grover_base,RMSE,CYP3A4,scaffold,reg,1.0,ranksums
grover_base,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,1.1981869102986613e-11,ttest_rel
grover_base,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,1.7343976283205784e-06,wilcoxon
grover_base,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,3.383025259369591e-05,ttest_ind
grover_base,grover_base_rdkit,RMSE,CYP3A4,scaffold,reg,0.00015382425641188903,ranksums
grover_base_rdkit,RF,RMSE,CYP3A4,scaffold,reg,7.219248969438432e-07,ttest_rel
grover_base_rdkit,RF,RMSE,CYP3A4,scaffold,reg,4.449337283453103e-05,wilcoxon
grover_base_rdkit,RF,RMSE,CYP3A4,scaffold,reg,0.0006238993007600559,ttest_ind
grover_base_rdkit,RF,RMSE,CYP3A4,scaffold,reg,0.0015568790292720188,ranksums
grover_base_rdkit,molbert,RMSE,CYP3A4,scaffold,reg,0.03915258808405259,ttest_rel
grover_base_rdkit,molbert,RMSE,CYP3A4,scaffold,reg,0.016565526979430395,wilcoxon
grover_base_rdkit,molbert,RMSE,CYP3A4,scaffold,reg,0.44560740995934833,ttest_ind
grover_base_rdkit,molbert,RMSE,CYP3A4,scaffold,reg,0.4161358470782788,ranksums
