split_type,metric_name,mol_prop,model_name,task,p_value,stats_method
scaffold,Precision_NPV,CYP3A4,RF,cutoff6,0.004389618289039615,wilcoxon
scaffold,Precision_NPV,CYP3A4,RF,cutoff6,0.02887046976379686,ttest_ind
scaffold,Precision_NPV,CYP3A4,RF,cutoff6,0.016954880587293254,ranksums
scaffold,Precision_NPV,CYP3A4,molbert,cutoff6,0.01671466004303033,ttest_rel
scaffold,Precision_NPV,CYP3A4,molbert,cutoff6,0.0056671726914977955,wilcoxon
scaffold,Precision_NPV,CYP3A4,molbert,cutoff6,0.013798866860092266,ttest_ind
scaffold,Precision_NPV,CYP3A4,molbert,cutoff6,0.0066688764888895,ranksums
scaffold,Precision_NPV,CYP3A4,grover_base,cutoff6,0.1171162419843784,ttest_rel
scaffold,Precision_NPV,CYP3A4,grover_base,cutoff6,0.18462187723062606,wilcoxon
scaffold,Precision_NPV,CYP3A4,grover_base,cutoff6,0.12086212773754092,ttest_ind
scaffold,Precision_NPV,CYP3A4,grover_base,cutoff6,0.2339889162810581,ranksums
scaffold,Precision_NPV,CYP3A4,grover_base_rdkit,cutoff6,0.0031231765287690594,ttest_rel
scaffold,Precision_NPV,CYP3A4,grover_base_rdkit,cutoff6,0.0009626589290659114,wilcoxon
scaffold,Precision_NPV,CYP3A4,grover_base_rdkit,cutoff6,0.002016623309779512,ttest_ind
scaffold,Precision_NPV,CYP3A4,grover_base_rdkit,cutoff6,0.002822333558357556,ranksums
scaffold,AUROC,CYP2D6,RF,cutoff6,0.4110885819217224,ttest_rel
scaffold,AUROC,CYP2D6,RF,cutoff6,0.24550260452144101,wilcoxon
scaffold,AUROC,CYP2D6,RF,cutoff6,0.43773975768497286,ttest_ind
scaffold,AUROC,CYP2D6,RF,cutoff6,0.2707053377245183,ranksums
scaffold,AUROC,CYP2D6,molbert,cutoff6,0.7195557083153564,ttest_rel
scaffold,AUROC,CYP2D6,molbert,cutoff6,0.819868406008273,wilcoxon
scaffold,AUROC,CYP2D6,molbert,cutoff6,0.7131125391957008,ttest_ind
scaffold,AUROC,CYP2D6,molbert,cutoff6,0.8883028421533887,ranksums
scaffold,AUROC,CYP2D6,grover_base,cutoff6,0.5060530189257633,ttest_rel
scaffold,AUROC,CYP2D6,grover_base,cutoff6,0.5538124142676271,wilcoxon
scaffold,AUROC,CYP2D6,grover_base,cutoff6,0.49751524322407203,ttest_ind
scaffold,AUROC,CYP2D6,grover_base,cutoff6,0.662734758176107,ranksums
scaffold,AUROC,CYP2D6,grover_base_rdkit,cutoff6,0.5512188287393798,ttest_rel
scaffold,AUROC,CYP2D6,grover_base_rdkit,cutoff6,0.5847003837977167,wilcoxon
scaffold,AUROC,CYP2D6,grover_base_rdkit,cutoff6,0.5765884031527728,ttest_ind
scaffold,AUROC,CYP2D6,grover_base_rdkit,cutoff6,0.6204037206277525,ranksums
scaffold,AUPRC,CYP2D6,RF,cutoff6,,ttest_rel
scaffold,AUPRC,CYP2D6,RF,cutoff6,0.00026134309226671514,wilcoxon
scaffold,AUPRC,CYP2D6,RF,cutoff6,,ttest_ind
scaffold,AUPRC,CYP2D6,RF,cutoff6,0.48713803171001935,ranksums
scaffold,AUPRC,CYP2D6,molbert,cutoff6,,ttest_rel
scaffold,AUPRC,CYP2D6,molbert,cutoff6,0.0005287248371505039,wilcoxon
scaffold,AUPRC,CYP2D6,molbert,cutoff6,,ttest_ind
scaffold,AUPRC,CYP2D6,molbert,cutoff6,0.11881734448329707,ranksums
scaffold,AUPRC,CYP2D6,grover_base,cutoff6,,ttest_rel
scaffold,AUPRC,CYP2D6,grover_base,cutoff6,0.00013594767036744938,wilcoxon
scaffold,AUPRC,CYP2D6,grover_base,cutoff6,,ttest_ind
scaffold,AUPRC,CYP2D6,grover_base,cutoff6,0.08106110555538913,ranksums
scaffold,AUPRC,CYP2D6,grover_base_rdkit,cutoff6,,ttest_rel
scaffold,AUPRC,CYP2D6,grover_base_rdkit,cutoff6,4.449337283453103e-05,wilcoxon
scaffold,AUPRC,CYP2D6,grover_base_rdkit,cutoff6,,ttest_ind
scaffold,AUPRC,CYP2D6,grover_base_rdkit,cutoff6,0.09775105544859913,ranksums
scaffold,Precision_PPV,CYP2D6,RF,cutoff6,0.5217734364543664,ttest_rel
scaffold,Precision_PPV,CYP2D6,RF,cutoff6,0.972125329731665,wilcoxon
scaffold,Precision_PPV,CYP2D6,RF,cutoff6,0.49474037047622255,ttest_ind
scaffold,Precision_PPV,CYP2D6,RF,cutoff6,0.49645154752910825,ranksums
scaffold,Precision_PPV,CYP2D6,molbert,cutoff6,0.37160985530552026,ttest_rel
scaffold,Precision_PPV,CYP2D6,molbert,cutoff6,0.7321764678850193,wilcoxon
scaffold,Precision_PPV,CYP2D6,molbert,cutoff6,0.3265754661467207,ttest_ind
scaffold,Precision_PPV,CYP2D6,molbert,cutoff6,0.662734758176107,ranksums
scaffold,Precision_PPV,CYP2D6,grover_base,cutoff6,0.19223700555333503,ttest_rel
scaffold,Precision_PPV,CYP2D6,grover_base,cutoff6,0.29328555139466594,wilcoxon
scaffold,Precision_PPV,CYP2D6,grover_base,cutoff6,0.1723887829719752,ttest_ind
scaffold,Precision_PPV,CYP2D6,grover_base,cutoff6,0.9646228051136889,ranksums
scaffold,Precision_PPV,CYP2D6,grover_base_rdkit,cutoff6,0.11268379092692002,ttest_rel
scaffold,Precision_PPV,CYP2D6,grover_base_rdkit,cutoff6,0.15793931050013033,wilcoxon
scaffold,Precision_PPV,CYP2D6,grover_base_rdkit,cutoff6,0.1090266001252323,ttest_ind
scaffold,Precision_PPV,CYP2D6,grover_base_rdkit,cutoff6,0.7844597689495465,ranksums
scaffold,Precision_NPV,CYP2D6,RF,cutoff6,0.002917687422794747,ttest_rel
scaffold,Precision_NPV,CYP2D6,RF,cutoff6,0.004747923962975725,wilcoxon
scaffold,Precision_NPV,CYP2D6,RF,cutoff6,0.0013774952111888427,ttest_ind
scaffold,Precision_NPV,CYP2D6,RF,cutoff6,0.008684371229240621,ranksums
scaffold,Precision_NPV,CYP2D6,molbert,cutoff6,0.2609205421527581,ttest_rel
scaffold,Precision_NPV,CYP2D6,molbert,cutoff6,0.6163913111006432,wilcoxon
scaffold,Precision_NPV,CYP2D6,molbert,cutoff6,0.2650718910107159,ttest_ind
scaffold,Precision_NPV,CYP2D6,molbert,cutoff6,0.24581380245894136,ranksums
scaffold,Precision_NPV,CYP2D6,grover_base,cutoff6,0.06403787018604468,ttest_rel
scaffold,Precision_NPV,CYP2D6,grover_base,cutoff6,0.09197210927724962,wilcoxon
scaffold,Precision_NPV,CYP2D6,grover_base,cutoff6,0.061596448790567776,ttest_ind
scaffold,Precision_NPV,CYP2D6,grover_base,cutoff6,0.14944870623046316,ranksums
