model,metric_name,mol_prop,task,p_value,stats_method
molbert,Pearson_R,CYP2D6,reg,0.0752133122154768,wilcoxon
molbert,Pearson_R,CYP2D6,reg,0.0655296827260059,ttest_ind
molbert,Pearson_R,CYP2D6,reg,0.09479279235540534,ranksums
molbert,RMSE,MOR,reg,0.9361203819877559,ttest_rel
molbert,RMSE,MOR,reg,0.7188875621362669,wilcoxon
molbert,RMSE,MOR,reg,0.9315636755372847,ttest_ind
molbert,RMSE,MOR,reg,0.35163696900500074,ranksums
molbert,MAE,MOR,reg,0.6979023908369677,ttest_rel
molbert,MAE,MOR,reg,0.8612125197358381,wilcoxon
molbert,MAE,MOR,reg,0.6832810910846567,ttest_ind
molbert,MAE,MOR,reg,0.7787839689422886,ranksums
molbert,R2,MOR,reg,0.23963284477743743,ttest_rel
molbert,R2,MOR,reg,0.2288804222849652,wilcoxon
molbert,R2,MOR,reg,0.2219536784818106,ttest_ind
molbert,R2,MOR,reg,0.2611758246072803,ranksums
molbert,Pearson_R,MOR,reg,0.6679156119440451,ttest_rel
molbert,Pearson_R,MOR,reg,0.6732798065233047,wilcoxon
molbert,Pearson_R,MOR,reg,0.6519723058605904,ttest_ind
molbert,Pearson_R,MOR,reg,0.9528424295801989,ranksums
molbert,RMSE,DOR,reg,0.09742954242064619,ttest_rel
molbert,RMSE,DOR,reg,0.03160338164205514,wilcoxon
molbert,RMSE,DOR,reg,0.09600276128570404,ttest_ind
molbert,RMSE,DOR,reg,0.02657776336501617,ranksums
molbert,MAE,DOR,reg,0.055112642945318244,ttest_rel
molbert,MAE,DOR,reg,0.007271049691046206,wilcoxon
molbert,MAE,DOR,reg,0.06696598269330355,ttest_ind
molbert,MAE,DOR,reg,0.02866268581834535,ranksums
molbert,R2,DOR,reg,0.02979565655683043,ttest_rel
molbert,R2,DOR,reg,0.0427666880169531,wilcoxon
molbert,R2,DOR,reg,0.02720331031850333,ttest_ind
molbert,R2,DOR,reg,0.04757860204719877,ranksums
molbert,Pearson_R,DOR,reg,0.06318650862776769,ttest_rel
molbert,Pearson_R,DOR,reg,0.08971783776750893,wilcoxon
molbert,Pearson_R,DOR,reg,0.057477177548003584,ttest_ind
molbert,Pearson_R,DOR,reg,0.07362842906528969,ranksums
molbert,RMSE,KOR,reg,0.04157704241183281,ttest_rel
molbert,RMSE,KOR,reg,0.04491890376548032,wilcoxon
molbert,RMSE,KOR,reg,0.05077840746877068,ttest_ind
molbert,RMSE,KOR,reg,0.04281950731769772,ranksums
molbert,MAE,KOR,reg,0.02324953140554053,ttest_rel
molbert,MAE,KOR,reg,0.03160338164205514,wilcoxon
molbert,MAE,KOR,reg,0.022345596294050293,ttest_ind
molbert,MAE,KOR,reg,0.008874707243582238,ranksums
molbert,R2,KOR,reg,0.018776924218954834,ttest_rel
molbert,R2,KOR,reg,0.023038144695472357,wilcoxon
molbert,R2,KOR,reg,0.017373666099113085,ttest_ind
molbert,R2,KOR,reg,0.03325779663050038,ranksums
molbert,Pearson_R,KOR,reg,0.05777314616452217,ttest_rel
molbert,Pearson_R,KOR,reg,0.09367559653193051,wilcoxon
molbert,Pearson_R,KOR,reg,0.05469411741597284,ttest_ind
molbert,Pearson_R,KOR,reg,0.06899014012996332,ranksums
grover_base,RMSE,MDR1,reg,0.10111642442929655,ttest_rel
grover_base,RMSE,MDR1,reg,0.2288804222849652,wilcoxon
grover_base,RMSE,MDR1,reg,0.11286368180554313,ttest_ind
grover_base,RMSE,MDR1,reg,0.3365583763946506,ranksums
grover_base,MAE,MDR1,reg,0.16484125225838897,ttest_rel
grover_base,MAE,MDR1,reg,0.3933343721992797,wilcoxon
grover_base,MAE,MDR1,reg,0.19443095424983156,ttest_ind
grover_base,MAE,MDR1,reg,0.8941460645782624,ranksums
grover_base,R2,MDR1,reg,0.013260462715926671,ttest_rel
grover_base,R2,MDR1,reg,0.007730944211317755,wilcoxon
grover_base,R2,MDR1,reg,0.013304724491180923,ttest_ind
grover_base,R2,MDR1,reg,0.00712883007556135,ranksums
grover_base,Pearson_R,MDR1,reg,0.027291297212846878,ttest_rel
grover_base,Pearson_R,MDR1,reg,0.03500895681985013,wilcoxon
grover_base,Pearson_R,MDR1,reg,0.022368035920764084,ttest_ind
grover_base,Pearson_R,MDR1,reg,0.041325361572510405,ranksums
grover_base,RMSE,CYP3A4,reg,0.38766820280001935,ttest_rel
grover_base,RMSE,CYP3A4,reg,0.25364409754600126,wilcoxon
grover_base,RMSE,CYP3A4,reg,0.3924674213649284,ttest_ind
grover_base,RMSE,CYP3A4,reg,0.39938939501369475,ranksums
grover_base,MAE,CYP3A4,reg,0.05303332502089208,ttest_rel
grover_base,MAE,CYP3A4,reg,0.04491890376548032,wilcoxon
grover_base,MAE,CYP3A4,reg,0.03554541889625819,ttest_ind
grover_base,MAE,CYP3A4,reg,0.04594508834688344,ranksums
grover_base,R2,CYP3A4,reg,0.000847669442078065,ttest_rel
grover_base,R2,CYP3A4,reg,0.0014839276312951777,wilcoxon
grover_base,R2,CYP3A4,reg,0.001885147254941243,ttest_ind
grover_base,R2,CYP3A4,reg,0.0015568790292720188,ranksums
grover_base,Pearson_R,CYP3A4,reg,0.056104732398397805,ttest_rel
grover_base,Pearson_R,CYP3A4,reg,0.049498046027749744,wilcoxon
grover_base,Pearson_R,CYP3A4,reg,0.06785825140239797,ttest_ind
grover_base,Pearson_R,CYP3A4,reg,0.06899014012996332,ranksums
grover_base,RMSE,CYP2D6,reg,0.9638364578218779,ttest_rel
grover_base,RMSE,CYP2D6,reg,0.8450804241615161,wilcoxon
grover_base,RMSE,CYP2D6,reg,0.9606961507095377,ttest_ind
grover_base,RMSE,CYP2D6,reg,0.9058494458660942,ranksums
grover_base,MAE,CYP2D6,reg,0.9817872562802534,ttest_rel
grover_base,MAE,CYP2D6,reg,0.3933343721992797,wilcoxon
grover_base,MAE,CYP2D6,reg,0.979493774677748,ttest_ind
grover_base,MAE,CYP2D6,reg,0.6897609572758945,ranksums
grover_base,R2,CYP2D6,reg,0.42886606975218455,ttest_rel
grover_base,R2,CYP2D6,reg,0.5038329688781412,wilcoxon
grover_base,R2,CYP2D6,reg,0.363576973089912,ttest_ind
grover_base,R2,CYP2D6,reg,0.2611758246072803,ranksums
grover_base,Pearson_R,CYP2D6,reg,0.49588262348565704,ttest_rel
grover_base,Pearson_R,CYP2D6,reg,0.6288430020541073,wilcoxon
grover_base,Pearson_R,CYP2D6,reg,0.4571829403671289,ttest_ind
grover_base,Pearson_R,CYP2D6,reg,0.5058591780795985,ranksums
grover_base,RMSE,MOR,reg,0.1861544181998279,ttest_rel
grover_base,RMSE,MOR,reg,0.30861485052601767,wilcoxon
grover_base,RMSE,MOR,reg,0.15199152146912145,ttest_ind
grover_base,RMSE,MOR,reg,0.22538880724489263,ranksums
grover_base,MAE,MOR,reg,0.14109043889307973,ttest_rel
grover_base,MAE,MOR,reg,0.18462187723062606,wilcoxon
grover_base,MAE,MOR,reg,0.10206846977965489,ttest_ind
grover_base,MAE,MOR,reg,0.12780979653937344,ranksums
grover_base,R2,MOR,reg,0.059198524960819426,ttest_rel
grover_base,R2,MOR,reg,0.09367559653193051,wilcoxon
grover_base,R2,MOR,reg,0.04365617074534574,ttest_ind
grover_base,R2,MOR,reg,0.0584368468284206,ranksums
grover_base,Pearson_R,MOR,reg,0.026380227988149593,ttest_rel
grover_base,Pearson_R,MOR,reg,0.040702311426277726,wilcoxon
grover_base,Pearson_R,MOR,reg,0.016155739074941267,ttest_ind
grover_base,Pearson_R,MOR,reg,0.041325361572510405,ranksums
grover_base,RMSE,DOR,reg,0.3450970816576914,ttest_rel
grover_base,RMSE,DOR,reg,0.49079849348995086,wilcoxon
grover_base,RMSE,DOR,reg,0.3366320726437031,ttest_ind
grover_base,RMSE,DOR,reg,0.9882041649400981,ranksums
grover_base,MAE,DOR,reg,0.23804599918999964,ttest_rel
grover_base,MAE,DOR,reg,0.3184906025782175,wilcoxon
grover_base,MAE,DOR,reg,0.22976850659692355,ttest_ind
grover_base,MAE,DOR,reg,0.847587480259332,ranksums
grover_base,R2,DOR,reg,0.1296233282154019,ttest_rel
grover_base,R2,DOR,reg,0.25364409754600126,wilcoxon
grover_base,R2,DOR,reg,0.15883357542097054,ttest_ind
grover_base,R2,DOR,reg,0.5945602565439676,ranksums
grover_base,Pearson_R,DOR,reg,0.048963432426892085,ttest_rel
grover_base,Pearson_R,DOR,reg,0.11092566512553104,wilcoxon
grover_base,Pearson_R,DOR,reg,0.07636741364159795,ttest_ind
grover_base,Pearson_R,DOR,reg,0.3440449406444759,ranksums
grover_base,RMSE,KOR,reg,0.015435169034129998,ttest_rel
grover_base,RMSE,KOR,reg,0.009842142401693147,wilcoxon
grover_base,RMSE,KOR,reg,0.00814813050863231,ttest_ind
grover_base,RMSE,KOR,reg,0.014710444453394785,ranksums
grover_base,MAE,KOR,reg,0.016113227287020495,ttest_rel
grover_base,MAE,KOR,reg,0.01565848334220057,wilcoxon
grover_base,MAE,KOR,reg,0.011948078520894237,ttest_ind
grover_base,MAE,KOR,reg,0.0236963474859871,ranksums
grover_base,R2,KOR,reg,0.010153268356438776,ttest_rel
grover_base,R2,KOR,reg,0.012452560438554458,wilcoxon
grover_base,R2,KOR,reg,0.0039062460281376614,ttest_ind
grover_base,R2,KOR,reg,0.00813506323500792,ranksums
grover_base,Pearson_R,KOR,reg,0.0002997718520267401,ttest_rel
grover_base,Pearson_R,KOR,reg,0.0008307070066870031,wilcoxon
grover_base,Pearson_R,KOR,reg,4.901395941126868e-05,ttest_ind
grover_base,Pearson_R,KOR,reg,0.0001836840474365799,ranksums
grover_base_rdkit,RMSE,MDR1,reg,0.0017596092349607896,ttest_rel
grover_base_rdkit,RMSE,MDR1,reg,0.002957462130717483,wilcoxon
grover_base_rdkit,RMSE,MDR1,reg,0.0021832733871672886,ttest_ind
grover_base_rdkit,RMSE,MDR1,reg,0.008497691926134823,ranksums
grover_base_rdkit,MAE,MDR1,reg,0.002762348210601556,ttest_rel
grover_base_rdkit,MAE,MDR1,reg,0.004991554012370142,wilcoxon
grover_base_rdkit,MAE,MDR1,reg,0.0029392723133518936,ttest_ind
grover_base_rdkit,MAE,MDR1,reg,0.005961288528864798,ranksums
grover_base_rdkit,R2,MDR1,reg,0.002044582725146325,ttest_rel
grover_base_rdkit,R2,MDR1,reg,0.006835856425301226,wilcoxon
grover_base_rdkit,R2,MDR1,reg,0.0013443342839312398,ttest_ind
grover_base_rdkit,R2,MDR1,reg,0.012469625319240047,ranksums
grover_base_rdkit,Pearson_R,MDR1,reg,0.005599023730291609,ttest_rel
grover_base_rdkit,Pearson_R,MDR1,reg,0.03000989131308078,wilcoxon
grover_base_rdkit,Pearson_R,MDR1,reg,0.00418750595210029,ttest_ind
grover_base_rdkit,Pearson_R,MDR1,reg,0.052774720616058944,ranksums
grover_base_rdkit,RMSE,CYP3A4,reg,0.216555355792103,ttest_rel
grover_base_rdkit,RMSE,CYP3A4,reg,0.25364409754600126,wilcoxon
grover_base_rdkit,RMSE,CYP3A4,reg,0.20464641636504197,ttest_ind
grover_base_rdkit,RMSE,CYP3A4,reg,0.30071104714831287,ranksums
grover_base_rdkit,MAE,CYP3A4,reg,0.06289986530124399,ttest_rel
grover_base_rdkit,MAE,CYP3A4,reg,0.0427666880169531,wilcoxon
grover_base_rdkit,MAE,CYP3A4,reg,0.05358382160303818,ttest_ind
grover_base_rdkit,MAE,CYP3A4,reg,0.08106110555538913,ranksums
grover_base_rdkit,R2,CYP3A4,reg,0.006913389296712917,ttest_rel
grover_base_rdkit,R2,CYP3A4,reg,0.012452560438554458,wilcoxon
grover_base_rdkit,R2,CYP3A4,reg,0.004326978258717557,ttest_ind
grover_base_rdkit,R2,CYP3A4,reg,0.012999482492838093,ranksums
grover_base_rdkit,Pearson_R,CYP3A4,reg,0.014487190228912114,ttest_rel
grover_base_rdkit,Pearson_R,CYP3A4,reg,0.014795424247745142,wilcoxon
grover_base_rdkit,Pearson_R,CYP3A4,reg,0.009806620584088686,ttest_ind
grover_base_rdkit,Pearson_R,CYP3A4,reg,0.03205359011068274,ranksums
grover_base_rdkit,RMSE,CYP2D6,reg,0.027916513404922176,ttest_rel
grover_base_rdkit,RMSE,CYP2D6,reg,0.0858958258699641,wilcoxon
grover_base_rdkit,RMSE,CYP2D6,reg,0.04220148487800353,ttest_ind
grover_base_rdkit,RMSE,CYP2D6,reg,0.09775105544859913,ranksums
grover_base_rdkit,MAE,CYP2D6,reg,0.032306440382907496,ttest_rel
grover_base_rdkit,MAE,CYP2D6,reg,0.03500895681985013,wilcoxon
grover_base_rdkit,MAE,CYP2D6,reg,0.02566610267022711,ttest_ind
grover_base_rdkit,MAE,CYP2D6,reg,0.04594508834688344,ranksums
