split_type,metric_name,mol_prop,model_name,task,p_value,stats_method
scaffold,MAE,CYP2D6,grover_base_rdkit,reg,1.2077179187889386e-05,ranksums
scaffold,R2,CYP2D6,RF,reg,7.246373624815974e-05,ttest_rel
scaffold,R2,CYP2D6,RF,reg,0.00022248266458074938,wilcoxon
scaffold,R2,CYP2D6,RF,reg,2.495036730807414e-05,ttest_ind
scaffold,R2,CYP2D6,RF,reg,2.6836065102937488e-05,ranksums
scaffold,R2,CYP2D6,molbert,reg,0.7326788179154058,ttest_rel
scaffold,R2,CYP2D6,molbert,reg,0.5577426862039239,wilcoxon
scaffold,R2,CYP2D6,molbert,reg,0.7646630245830008,ttest_ind
scaffold,R2,CYP2D6,molbert,reg,0.48713803171001935,ranksums
scaffold,R2,CYP2D6,grover_base,reg,0.04285472454167052,ttest_rel
scaffold,R2,CYP2D6,grover_base,reg,0.0368261284160903,wilcoxon
scaffold,R2,CYP2D6,grover_base,reg,0.062197412111057775,ttest_ind
scaffold,R2,CYP2D6,grover_base,reg,0.16016393690179076,ranksums
scaffold,R2,CYP2D6,grover_base_rdkit,reg,0.11036450947486072,ttest_rel
scaffold,R2,CYP2D6,grover_base_rdkit,reg,0.06871363079688197,wilcoxon
scaffold,R2,CYP2D6,grover_base_rdkit,reg,0.09291788803081498,ttest_ind
scaffold,R2,CYP2D6,grover_base_rdkit,reg,0.1646090619494487,ranksums
scaffold,Pearson_R,CYP2D6,RF,reg,0.13841309041385794,ttest_rel
scaffold,Pearson_R,CYP2D6,RF,reg,0.17790738330384115,wilcoxon
scaffold,Pearson_R,CYP2D6,RF,reg,0.15209524825402923,ttest_ind
scaffold,Pearson_R,CYP2D6,RF,reg,0.24281902425621116,ranksums
scaffold,Pearson_R,CYP2D6,molbert,reg,0.21405014234000472,ttest_rel
scaffold,Pearson_R,CYP2D6,molbert,reg,0.12044472790832522,wilcoxon
scaffold,Pearson_R,CYP2D6,molbert,reg,0.3335754078105202,ttest_ind
scaffold,Pearson_R,CYP2D6,molbert,reg,0.07127836506680116,ranksums
scaffold,Pearson_R,CYP2D6,grover_base,reg,0.10149387954142326,ttest_rel
scaffold,Pearson_R,CYP2D6,grover_base,reg,0.0752133122154768,wilcoxon
scaffold,Pearson_R,CYP2D6,grover_base,reg,0.24541120166072597,ttest_ind
scaffold,Pearson_R,CYP2D6,grover_base,reg,0.28711193012328706,ranksums
scaffold,Pearson_R,CYP2D6,grover_base_rdkit,reg,0.2008654687787225,ttest_rel
scaffold,Pearson_R,CYP2D6,grover_base_rdkit,reg,0.25364409754600126,wilcoxon
scaffold,Pearson_R,CYP2D6,grover_base_rdkit,reg,0.18345671468604846,ttest_ind
scaffold,Pearson_R,CYP2D6,grover_base_rdkit,reg,0.21978226081614072,ranksums
scaffold,RMSE,MOR,RF,reg,0.007164487884291919,ttest_rel
scaffold,RMSE,MOR,RF,reg,0.011748106348302898,wilcoxon
scaffold,RMSE,MOR,RF,reg,0.01325936897308576,ttest_ind
scaffold,RMSE,MOR,RF,reg,0.04926066741360384,ranksums
scaffold,RMSE,MOR,molbert,reg,0.4163202657171877,ttest_rel
scaffold,RMSE,MOR,molbert,reg,0.8130168513045055,wilcoxon
scaffold,RMSE,MOR,molbert,reg,0.43496931084818813,ttest_ind
scaffold,RMSE,MOR,molbert,reg,0.604838651327524,ranksums
scaffold,RMSE,MOR,grover_base,reg,0.7586401414632066,ttest_rel
scaffold,RMSE,MOR,grover_base,reg,0.6732798065233047,wilcoxon
scaffold,RMSE,MOR,grover_base,reg,0.8272413079356089,ttest_ind
scaffold,RMSE,MOR,grover_base,reg,0.8708108045360416,ranksums
scaffold,RMSE,MOR,grover_base_rdkit,reg,0.26911254325780637,ttest_rel
scaffold,RMSE,MOR,grover_base_rdkit,reg,0.5440062075841892,wilcoxon
scaffold,RMSE,MOR,grover_base_rdkit,reg,0.2782427182978239,ttest_ind
scaffold,RMSE,MOR,grover_base_rdkit,reg,0.5249522282756667,ranksums
scaffold,MAE,MOR,RF,reg,0.0131856875573098,ttest_rel
scaffold,MAE,MOR,RF,reg,0.01565848334220057,wilcoxon
scaffold,MAE,MOR,RF,reg,0.016277096532831072,ttest_ind
scaffold,MAE,MOR,RF,reg,0.04594508834688344,ranksums
scaffold,MAE,MOR,molbert,reg,0.34197217645927913,ttest_rel
scaffold,MAE,MOR,molbert,reg,0.6143145637885868,wilcoxon
scaffold,MAE,MOR,molbert,reg,0.38459108394868524,ttest_ind
scaffold,MAE,MOR,molbert,reg,0.8941460645782624,ranksums
scaffold,MAE,MOR,grover_base,reg,0.9118566052571118,ttest_rel
scaffold,MAE,MOR,grover_base,reg,0.6883592982254604,wilcoxon
scaffold,MAE,MOR,grover_base,reg,0.9441488972296126,ttest_ind
scaffold,MAE,MOR,grover_base,reg,0.9175733096128048,ranksums
scaffold,MAE,MOR,grover_base_rdkit,reg,0.08375050726688582,ttest_rel
scaffold,MAE,MOR,grover_base_rdkit,reg,0.15286069407970188,wilcoxon
scaffold,MAE,MOR,grover_base_rdkit,reg,0.08896708956201205,ttest_ind
scaffold,MAE,MOR,grover_base_rdkit,reg,0.19324837891878444,ranksums
scaffold,R2,MOR,RF,reg,0.0005720437064531461,ttest_rel
scaffold,R2,MOR,RF,reg,0.00045335631776461847,wilcoxon
scaffold,R2,MOR,RF,reg,0.0010604622622338946,ttest_ind
scaffold,R2,MOR,RF,reg,0.002688839981756471,ranksums
scaffold,R2,MOR,molbert,reg,0.005779491724806189,ttest_rel
scaffold,R2,MOR,molbert,reg,0.006424211872163101,wilcoxon
scaffold,R2,MOR,molbert,reg,0.006176164543775121,ttest_ind
scaffold,R2,MOR,molbert,reg,0.005444735082163364,ranksums
scaffold,R2,MOR,grover_base,reg,0.0056147603954509965,ttest_rel
scaffold,R2,MOR,grover_base,reg,0.004681835234144671,wilcoxon
scaffold,R2,MOR,grover_base,reg,0.14532242845610946,ttest_ind
scaffold,R2,MOR,grover_base,reg,0.08634644641194693,ranksums
scaffold,R2,MOR,grover_base_rdkit,reg,0.006919577161719753,ttest_rel
scaffold,R2,MOR,grover_base_rdkit,reg,0.008729667753602288,wilcoxon
scaffold,R2,MOR,grover_base_rdkit,reg,0.007060253360341002,ttest_ind
scaffold,R2,MOR,grover_base_rdkit,reg,0.005961288528864798,ranksums
scaffold,Pearson_R,MOR,RF,reg,0.0011192628036328879,ttest_rel
scaffold,Pearson_R,MOR,RF,reg,0.0011138009078172067,wilcoxon
scaffold,Pearson_R,MOR,RF,reg,0.0021880767681244297,ttest_ind
scaffold,Pearson_R,MOR,RF,reg,0.006521595229614082,ranksums
scaffold,Pearson_R,MOR,molbert,reg,0.07314138078759143,ttest_rel
scaffold,Pearson_R,MOR,molbert,reg,0.1020106952499886,wilcoxon
scaffold,Pearson_R,MOR,molbert,reg,0.08137106802497693,ttest_ind
scaffold,Pearson_R,MOR,molbert,reg,0.08909163442771982,ranksums
scaffold,Pearson_R,MOR,grover_base,reg,0.006241192631538058,ttest_rel
scaffold,Pearson_R,MOR,grover_base,reg,0.01319416986541395,wilcoxon
scaffold,Pearson_R,MOR,grover_base,reg,0.1687282710022007,ttest_ind
scaffold,Pearson_R,MOR,grover_base,reg,0.19835756666257887,ranksums
scaffold,Pearson_R,MOR,grover_base_rdkit,reg,0.03530472272254406,ttest_rel
scaffold,Pearson_R,MOR,grover_base_rdkit,reg,0.05983560139134924,wilcoxon
scaffold,Pearson_R,MOR,grover_base_rdkit,reg,0.03538056552748378,ttest_ind
scaffold,Pearson_R,MOR,grover_base_rdkit,reg,0.041325361572510405,ranksums
scaffold,RMSE,DOR,RF,reg,5.330792571131593e-08,ttest_rel
scaffold,RMSE,DOR,RF,reg,4.285685869189864e-06,wilcoxon
scaffold,RMSE,DOR,RF,reg,6.652580595503001e-08,ttest_ind
scaffold,RMSE,DOR,RF,reg,2.6754924802374303e-07,ranksums
scaffold,RMSE,DOR,molbert,reg,3.5367715355640774e-05,ttest_rel
scaffold,RMSE,DOR,molbert,reg,0.0002830789435165413,wilcoxon
scaffold,RMSE,DOR,molbert,reg,4.215921017550721e-05,ttest_ind
scaffold,RMSE,DOR,molbert,reg,6.978710290760659e-05,ranksums
scaffold,RMSE,DOR,grover_base,reg,0.004248421596644092,ttest_rel
scaffold,RMSE,DOR,grover_base,reg,0.0092710251720259,wilcoxon
scaffold,RMSE,DOR,grover_base,reg,0.027663020021588686,ttest_ind
scaffold,RMSE,DOR,grover_base,reg,0.03325779663050038,ranksums
scaffold,RMSE,DOR,grover_base_rdkit,reg,3.2051660288038996e-05,ttest_rel
scaffold,RMSE,DOR,grover_base_rdkit,reg,0.0001149921754357011,wilcoxon
scaffold,RMSE,DOR,grover_base_rdkit,reg,0.00016482591664254966,ttest_ind
scaffold,RMSE,DOR,grover_base_rdkit,reg,0.0003464573988981253,ranksums
scaffold,MAE,DOR,RF,reg,2.3704041260407343e-09,ttest_rel
scaffold,MAE,DOR,RF,reg,4.285685869189864e-06,wilcoxon
scaffold,MAE,DOR,RF,reg,9.163959711840077e-10,ttest_ind
scaffold,MAE,DOR,RF,reg,3.4959262031405414e-08,ranksums
scaffold,MAE,DOR,molbert,reg,8.972880143261327e-07,ttest_rel
scaffold,MAE,DOR,molbert,reg,1.9729484515803686e-05,wilcoxon
scaffold,MAE,DOR,molbert,reg,1.560164551691414e-07,ttest_ind
scaffold,MAE,DOR,molbert,reg,7.315972725954026e-07,ranksums
scaffold,MAE,DOR,grover_base,reg,0.001710796998214287,ttest_rel
scaffold,MAE,DOR,grover_base,reg,0.003378854437718857,wilcoxon
scaffold,MAE,DOR,grover_base,reg,0.011390516262281408,ttest_ind
scaffold,MAE,DOR,grover_base,reg,0.013549158006559415,ranksums
scaffold,MAE,DOR,grover_base_rdkit,reg,3.606868681865007e-06,ttest_rel
scaffold,MAE,DOR,grover_base_rdkit,reg,3.7242647279456434e-05,wilcoxon
scaffold,MAE,DOR,grover_base_rdkit,reg,1.9973486396735294e-05,ttest_ind
scaffold,MAE,DOR,grover_base_rdkit,reg,6.160445128152279e-05,ranksums
scaffold,R2,DOR,RF,reg,5.463634287425975e-06,ttest_rel
scaffold,R2,DOR,RF,reg,2.5967125848447383e-05,wilcoxon
scaffold,R2,DOR,RF,reg,1.764591045486883e-06,ttest_ind
scaffold,R2,DOR,RF,reg,3.478526028053454e-05,ranksums
scaffold,R2,DOR,molbert,reg,0.0005667149225845879,ttest_rel
scaffold,R2,DOR,molbert,reg,0.0015927015020870082,wilcoxon
scaffold,R2,DOR,molbert,reg,0.0008872042830274124,ttest_ind
scaffold,R2,DOR,molbert,reg,0.008874707243582238,ranksums
scaffold,R2,DOR,grover_base,reg,0.013708357262128013,ttest_rel
scaffold,R2,DOR,grover_base,reg,0.008729667753602288,wilcoxon
scaffold,R2,DOR,grover_base,reg,0.05698186725876692,ttest_ind
scaffold,R2,DOR,grover_base,reg,0.06459465037331812,ranksums
scaffold,R2,DOR,grover_base_rdkit,reg,0.0004080904018119911,ttest_rel
scaffold,R2,DOR,grover_base_rdkit,reg,0.0015927015020870082,wilcoxon
scaffold,R2,DOR,grover_base_rdkit,reg,0.0006240794344123053,ttest_ind
scaffold,R2,DOR,grover_base_rdkit,reg,0.00712883007556135,ranksums
scaffold,Pearson_R,DOR,RF,reg,4.985388599545559e-05,ttest_rel
scaffold,Pearson_R,DOR,RF,reg,0.0001477276174888222,wilcoxon
scaffold,Pearson_R,DOR,RF,reg,2.2643545269722776e-05,ttest_ind
scaffold,Pearson_R,DOR,RF,reg,0.0007101417853454575,ranksums
scaffold,Pearson_R,DOR,molbert,reg,0.0037985631550327445,ttest_rel
scaffold,Pearson_R,DOR,molbert,reg,0.010444400581851145,wilcoxon
scaffold,Pearson_R,DOR,molbert,reg,0.005244466762056699,ttest_ind
scaffold,Pearson_R,DOR,molbert,reg,0.04757860204719877,ranksums
scaffold,Pearson_R,DOR,grover_base,reg,0.02598173408821903,ttest_rel
scaffold,Pearson_R,DOR,grover_base,reg,0.03326889706740501,wilcoxon
scaffold,Pearson_R,DOR,grover_base,reg,0.138122605828195,ttest_ind
scaffold,Pearson_R,DOR,grover_base,reg,0.1241512810914928,ranksums
scaffold,Pearson_R,DOR,grover_base_rdkit,reg,0.001313119309137601,ttest_rel
scaffold,Pearson_R,DOR,grover_base_rdkit,reg,0.005319684023981225,wilcoxon
scaffold,Pearson_R,DOR,grover_base_rdkit,reg,0.0024867600625763254,ttest_ind
scaffold,Pearson_R,DOR,grover_base_rdkit,reg,0.018005351025415707,ranksums
scaffold,RMSE,KOR,RF,reg,0.04427625060769112,ttest_rel
scaffold,RMSE,KOR,RF,reg,0.040702311426277726,wilcoxon
scaffold,RMSE,KOR,RF,reg,0.04248395226578123,ttest_ind
scaffold,RMSE,KOR,RF,reg,0.10388865931791373,ranksums
scaffold,RMSE,KOR,molbert,reg,0.3609314775807141,ttest_rel
scaffold,RMSE,KOR,molbert,reg,0.27115519770883223,wilcoxon
scaffold,RMSE,KOR,molbert,reg,0.351804328756979,ttest_ind
scaffold,RMSE,KOR,molbert,reg,0.23690664278331564,ranksums
scaffold,RMSE,KOR,grover_base,reg,0.16768981498394903,ttest_rel
scaffold,RMSE,KOR,grover_base,reg,0.21335807338945145,wilcoxon
scaffold,RMSE,KOR,grover_base,reg,0.30767011175609227,ttest_ind
scaffold,RMSE,KOR,grover_base,reg,0.27393415445229274,ranksums
